"","deconv_tool","dmr_tool","tumor_type","seq_depth","lod","rank_raw"
"412","MetDecode","wgbstools","BLCA","62M",0.05,5
"413","UXM","wgbstools","BLCA","62M",0.007,1
"414","EpiDISH_RPC","wgbstools","BLCA","62M",0.5,9
"415","PRMeth","wgbstools","BLCA","62M",0.1,7
"416","EpiSCORE","wgbstools","BLCA","62M",0.25,8
"417","meth_atlas","wgbstools","BLCA","62M",0.05,5
"418","CIBERSORT","wgbstools","BLCA","62M",1,10
"419","EpiDISH_CP_ineq","wgbstools","BLCA","62M",0.025,3
"420","EpiDISH_CP_eq","wgbstools","BLCA","62M",0.025,3
"421","EpiDISH_CP_eq","DMRfinder","BLCA","620M",0.007,2
"422","UXM","DMRfinder","BLCA","620M",0.025,7
"423","MetDecode","DMRfinder","BLCA","620M",0.007,2
"424","CelFiE","DMRfinder","BLCA","620M",0.003,1
"425","meth_atlas","DMRfinder","BLCA","620M",0.007,2
"426","EpiDISH_RPC","DMRfinder","BLCA","620M",1,9
"427","EpiSCORE","DMRfinder","BLCA","620M",0.25,8
"428","CIBERSORT","DMRfinder","BLCA","620M",1,9
"429","PRMeth","DMRfinder","BLCA","620M",0.01,6
"430","EpiDISH_CP_ineq","DMRfinder","BLCA","620M",0.007,2
"431","EpiDISH_CP_eq","wgbstools","BLCA","620M",0.007,2
"432","UXM","wgbstools","BLCA","620M",0.007,2
"433","MetDecode","wgbstools","BLCA","620M",0.007,2
"434","CelFiE","wgbstools","BLCA","620M",0.003,1
"435","meth_atlas","wgbstools","BLCA","620M",0.007,2
"436","EpiDISH_RPC","wgbstools","BLCA","620M",0.25,10
"437","EpiSCORE","wgbstools","BLCA","620M",0.05,8
"438","CIBERSORT","wgbstools","BLCA","620M",0.05,8
"439","PRMeth","wgbstools","BLCA","620M",0.025,7
"440","EpiDISH_CP_ineq","wgbstools","BLCA","620M",0.007,2
"441","EpiDISH_CP_eq","limma","BLCA","620M",0.007,1
"442","UXM","limma","BLCA","620M",0.025,6
"443","MetDecode","limma","BLCA","620M",0.007,1
"444","CelFiE","limma","BLCA","620M",0.007,1
"445","meth_atlas","limma","BLCA","620M",0.007,1
"446","EpiDISH_RPC","limma","BLCA","620M",0.025,6
"447","EpiSCORE","limma","BLCA","620M",0.025,6
"448","CIBERSORT","limma","BLCA","620M",0.025,6
"449","PRMeth","limma","BLCA","620M",0.025,6
